pre_corridor_id,post_corridor_id,metric,pre_value,post_value
11 St / New Hampshire,11 St / New Hampshire,Total Ridership,37197.0,19396.0
14th St,14th St,Total Ridership,118088.0,95723.0
16th St,16th St,Total Ridership,93073.0,72618.0
18th St NE,18th St NE,Total Ridership,37369.0,12888.0
5th St NW,5th St NW,Total Ridership,18131.0,12462.0
Alabama Ave,Alabama Ave,Total Ridership,119566.0,67526.0
Bladensburg,Bladensburg,Total Ridership,62361.0,36500.0
Connecticut Ave,Connecticut Ave,Total Ridership,47396.0,20919.0
Foggy Bottom / Mt Pleasant / Brookland,Foggy Bottom / Mt Pleasant / Brookland,Total Ridership,107788.0,56054.0
Georgetown / LeDroit Park,Georgetown / LeDroit Park,Total Ridership,9717.0,7563.0
Georgia Ave,Georgia Ave,Total Ridership,148498.0,116921.0
H St / Benning Rd / D St,H St / Benning Rd / D St,Total Ridership,115264.0,98141.0
Irving / Michigan,Irving / Michigan,Total Ridership,49134.0,38818.0
K St / Ivy City,K St / Ivy City,Total Ridership,29632.0,17657.0
Kansas / Eastern,Kansas / Eastern,Total Ridership,2889.0,2929.0
MLK Ave / 4 St SE,MLK Ave / 4 St SE,Total Ridership,82556.0,58608.0
MLK Ave / Bellevue,MLK Ave / Bellevue,Total Ridership,103478.0,51561.0
MacArthur Blvd,MacArthur Blvd,Total Ridership,24924.0,12834.0
Maryland Ave,Maryland Ave,Total Ridership,4770.0,3775.0
Massachusetts Ave,Massachusetts Ave,Total Ridership,29972.0,25151.0
Minnesota Ave / Eastern,Minnesota Ave / Eastern,Total Ridership,85803.0,70806.0
Minnesota Ave / Pennsylvania Ave,Minnesota Ave / Pennsylvania Ave,Total Ridership,18583.0,21737.0
N Capitol St,N Capitol St,Total Ridership,66471.0,23157.0
Naylor Rd - Shepherd Pkwy,Naylor Rd - Shepherd Pkwy,Total Ridership,51127.0,13674.0
Pennsylvania Ave,Pennsylvania Ave,Total Ridership,60621.0,45189.0
Rhode Island Ave / NE,Rhode Island Ave / NE,Total Ridership,53503.0,28060.0
Skyland / Barry Farm,Skyland / Barry Farm,Total Ridership,20876.0,13487.0
Southern Av / Anacostia,Southern Av / Anacostia,Total Ridership,41966.0,13337.0
U St,U St,Total Ridership,122790.0,102525.0
Upper NW,Upper NW,Total Ridership,30859.0,23185.0
Wisconsin Ave,Wisconsin Ave,Total Ridership,84611.0,73066.0
11 St / New Hampshire,11 St / New Hampshire,Monthly Ridership,5313.857142857143,3232.6666666666665
14th St,14th St,Monthly Ridership,16869.714285714286,15953.833333333334
