pre_route_id,post_route_id,metric,pre_value,post_value,corridor
D8,C71,Median Headway (Minutes),20.185714285714287,23.813559322033896,18th St NE
D8,D36,Median Headway (Minutes),20.185714285714287,20.08450704225352,K St / Ivy City
E2,C71,Median Headway (Minutes),25.49090909090909,23.813559322033896,18th St NE
E4,C81,Median Headway (Minutes),19.189189189189182,18.947368421052637,Upper NW
G2,C91,Median Headway (Minutes),26.79245283018868,26.79245283018868,Georgetown / LeDroit Park
G8,D32,Median Headway (Minutes),16.811764705882354,16.30681818181818,Rhode Island Ave / NE
G8,D34,Median Headway (Minutes),16.811764705882354,22.90322580645161,Rhode Island Ave / NE
H2,C61,Median Headway (Minutes),23.94915254237288,11.596774193548386,Irving / Michigan
H4,C61,Median Headway (Minutes),22.819672131147534,11.596774193548386,Irving / Michigan
H4,D72,Median Headway (Minutes),22.819672131147534,9.47682119205298,Foggy Bottom / Mt Pleasant / Brookland
H6,C63,Median Headway (Minutes),17.280487804878046,30.0,Irving / Michigan
H8,D74,Median Headway (Minutes),18.33333333333333,16.744186046511626,Foggy Bottom / Mt Pleasant / Brookland
K2,C77,Median Headway (Minutes),40.70588235294118,32.95238095238095,Kansas / Eastern
L2,D70,Median Headway (Minutes),14.845360824742269,16.30681818181818,Connecticut Ave
L2,D72,Median Headway (Minutes),14.845360824742269,9.47682119205298,Foggy Bottom / Mt Pleasant / Brookland
M4,C81,Median Headway (Minutes),16.03488372093023,18.947368421052637,Upper NW
M4,C83,Median Headway (Minutes),16.03488372093023,29.97872340425532,Upper NW
M6,C23,Median Headway (Minutes),17.54320987654321,28.64583333333333,Alabama Ave
M6,C37,Median Headway (Minutes),17.54320987654321,17.048192771084338,Minnesota Ave / Pennsylvania Ave
N2,D90,Median Headway (Minutes),29.229166666666668,20.085714285714285,Massachusetts Ave
N2,D96,Median Headway (Minutes),29.229166666666668,24.05084745762712,Massachusetts Ave
N4,D90,Median Headway (Minutes),29.14583333333333,20.085714285714285,Massachusetts Ave
N4,D96,Median Headway (Minutes),29.14583333333333,24.05084745762712,Massachusetts Ave
N6,D90,Median Headway (Minutes),36.410256410256416,20.085714285714285,Massachusetts Ave
N6,D96,Median Headway (Minutes),36.410256410256416,24.05084745762712,Massachusetts Ave
P6,D30,Median Headway (Minutes),17.654320987654323,14.96875,N Capitol St
P6,D34,Median Headway (Minutes),17.654320987654323,22.90322580645161,Rhode Island Ave / NE
S2,D60,Median Headway (Minutes),12.743362831858407,11.612903225806452,16th St
S2,D6X,Median Headway (Minutes),12.743362831858407,10.170212765957446,16th St
S9,D60,Median Headway (Minutes),9.13375796178344,11.612903225806452,16th St
S9,D6X,Median Headway (Minutes),9.13375796178344,10.170212765957446,16th St
U4,C33,Median Headway (Minutes),12.258620689655173,14.24,Minnesota Ave / Eastern
U5,C37,Median Headway (Minutes),33.829268292682926,17.048192771084338,Minnesota Ave / Pennsylvania Ave
U6,C35,Median Headway (Minutes),28.22,19.90277777777778,Minnesota Ave / Eastern
U7,C35,Median Headway (Minutes),24.120689655172416,19.90277777777778,Minnesota Ave / Eastern
V2,C31,Median Headway (Minutes),19.87323943661972,9.62162162162162,Minnesota Ave / Eastern
V4,C31,Median Headway (Minutes),20.808823529411764,9.62162162162162,Minnesota Ave / Eastern
V7,C21,Median Headway (Minutes),39.38235294117647,10.833333333333334,Alabama Ave
V7,C23,Median Headway (Minutes),39.38235294117647,28.64583333333333,Alabama Ave
V8,C21,Median Headway (Minutes),20.02857142857143,10.833333333333334,Alabama Ave
V8,C23,Median Headway (Minutes),20.02857142857143,28.64583333333333,Alabama Ave
W1,C27,Median Headway (Minutes),25.51851851851852,17.023809523809526,Naylor Rd - Shepherd Pkwy
W2,C27,Median Headway (Minutes),40.94285714285714,17.023809523809526,Naylor Rd - Shepherd Pkwy
W2,C29,Median Headway (Minutes),40.94285714285714,20.242857142857144,Southern Av / Anacostia
W3,C27,Median Headway (Minutes),20.38235294117647,17.023809523809526,Naylor Rd - Shepherd Pkwy
W3,C29,Median Headway (Minutes),20.38235294117647,20.242857142857144,Southern Av / Anacostia
W4,C21,Median Headway (Minutes),11.38095238095238,10.833333333333334,Alabama Ave
W4,C23,Median Headway (Minutes),11.38095238095238,28.64583333333333,Alabama Ave
W5,C21,Median Headway (Minutes),20.07692307692308,10.833333333333334,Alabama Ave
W6,C23,Median Headway (Minutes),21.176470588235293,28.64583333333333,Alabama Ave
W6,C25,Median Headway (Minutes),21.176470588235293,30.065217391304348,Skyland / Barry Farm
W6,C26,Median Headway (Minutes),21.176470588235293,30.127659574468087,Skyland / Barry Farm
W6,C29,Median Headway (Minutes),21.176470588235293,20.242857142857144,Southern Av / Anacostia
W8,C23,Median Headway (Minutes),21.27272727272727,28.64583333333333,Alabama Ave
W8,C25,Median Headway (Minutes),21.27272727272727,30.065217391304348,Skyland / Barry Farm
W8,C26,Median Headway (Minutes),21.27272727272727,30.127659574468087,Skyland / Barry Farm
W8,C29,Median Headway (Minutes),21.27272727272727,20.242857142857144,Southern Av / Anacostia
X2,C57,Median Headway (Minutes),10.62962962962963,69.0,
X2,D20,Median Headway (Minutes),10.62962962962963,9.808219178082192,H St / Benning Rd / D St
X8,C43,Median Headway (Minutes),25.285714285714285,25.285714285714285,Maryland Ave
X9,C57,Median Headway (Minutes),15.386363636363637,69.0,
X9,D2X,Median Headway (Minutes),15.386363636363637,15.0,H St / Benning Rd / D St
31,D82,Std Dev Headway (Minutes),0.0,0.0,Wisconsin Ave
32,D10,Std Dev Headway (Minutes),2.1830460877269373,0.601799596368535,Pennsylvania Ave
33,D80,Std Dev Headway (Minutes),0.9665096883339862,0.17977954597864643,Wisconsin Ave
36,D1X,Std Dev Headway (Minutes),1.7931894873579604,0.04142665527787426,Pennsylvania Ave
42,D70,Std Dev Headway (Minutes),1.59482263062543,0.7671784763568649,Connecticut Ave
42,D72,Std Dev Headway (Minutes),1.59482263062543,1.1633463720528179,Foggy Bottom / Mt Pleasant / Brookland
42,D74,Std Dev Headway (Minutes),1.59482263062543,0.5902610328201227,Foggy Bottom / Mt Pleasant / Brookland
43,D72,Std Dev Headway (Minutes),1.757313781320376,1.1633463720528179,Foggy Bottom / Mt Pleasant / Brookland
43,D74,Std Dev Headway (Minutes),1.757313781320376,0.5902610328201227,Foggy Bottom / Mt Pleasant / Brookland
52,D50,Std Dev Headway (Minutes),0.7556265076180905,1.3970955757919614,14th St
54,D5X,Std Dev Headway (Minutes),0.9635093351037832,1.9379086453807284,14th St
59,D5X,Std Dev Headway (Minutes),0.32370362194317565,1.9379086453807284,14th St
60,D44,Std Dev Headway (Minutes),0.0,0.8532365298845086,11 St / New Hampshire
62,C75,Std Dev Headway (Minutes),1.2515325745344965,0.601799596368535,5th St NW
63,C75,Std Dev Headway (Minutes),0.07301161783046207,0.601799596368535,5th St NW
63,D44,Std Dev Headway (Minutes),0.07301161783046207,0.8532365298845086,11 St / New Hampshire
64,D44,Std Dev Headway (Minutes),0.9651878407789681,0.8532365298845086,11 St / New Hampshire
70,D40,Std Dev Headway (Minutes),0.8825594255288919,0.6390817003234163,Georgia Ave
74,C55,Std Dev Headway (Minutes),0.24933823134228614,3.12362295314151,
74,D40,Std Dev Headway (Minutes),0.24933823134228614,0.6390817003234163,Georgia Ave
79,D4X,Std Dev Headway (Minutes),0.874767049736298,0.20413272422461068,Georgia Ave
80,D30,Std Dev Headway (Minutes),0.6674602404135362,0.012856202862271262,N Capitol St
90,C51,Std Dev Headway (Minutes),1.6462314065789079,0.03219541660700034,U St
90,C53,Std Dev Headway (Minutes),1.6462314065789079,0.5083105295227595,U St
92,C51,Std Dev Headway (Minutes),2.3924588554184307,0.03219541660700034,U St
92,C53,Std Dev Headway (Minutes),2.3924588554184307,0.5083105295227595,U St
96,C51,Std Dev Headway (Minutes),1.4035300355268405,0.03219541660700034,U St
A2,C11,Std Dev Headway (Minutes),1.9719990446672135,0.008899853185731296,MLK Ave / Bellevue
A2,C13,Std Dev Headway (Minutes),1.9719990446672135,0.004188238795927143,MLK Ave / 4 St SE
A2,C15,Std Dev Headway (Minutes),1.9719990446672135,0.5074381312276326,MLK Ave / 4 St SE
A2,C17,Std Dev Headway (Minutes),1.9719990446672135,1.4346416149585823,MLK Ave / Bellevue
A31,C31,Std Dev Headway (Minutes),,0.5009575018419165,Minnesota Ave / Eastern
A4,C11,Std Dev Headway (Minutes),1.7016367827676144,0.008899853185731296,MLK Ave / Bellevue
A4,C17,Std Dev Headway (Minutes),1.7016367827676144,1.4346416149585823,MLK Ave / Bellevue
A4,C27,Std Dev Headway (Minutes),1.7016367827676144,2.7331731668404315,Naylor Rd - Shepherd Pkwy
A6,C11,Std Dev Headway (Minutes),2.509862604631812,0.008899853185731296,MLK Ave / Bellevue
A6,C13,Std Dev Headway (Minutes),2.509862604631812,0.004188238795927143,MLK Ave / 4 St SE
A6,C15,Std Dev Headway (Minutes),2.509862604631812,0.5074381312276326,MLK Ave / 4 St SE
A6,C17,Std Dev Headway (Minutes),2.509862604631812,1.4346416149585823,MLK Ave / Bellevue
A8,C11,Std Dev Headway (Minutes),2.758797645959525,0.008899853185731296,MLK Ave / Bellevue
A8,C13,Std Dev Headway (Minutes),2.758797645959525,0.004188238795927143,MLK Ave / 4 St SE
A8,C15,Std Dev Headway (Minutes),2.758797645959525,0.5074381312276326,MLK Ave / 4 St SE
A8,C17,Std Dev Headway (Minutes),2.758797645959525,1.4346416149585823,MLK Ave / Bellevue
B2,C41,Std Dev Headway (Minutes),0.8500101597585475,0.34127448020300805,Bladensburg
D2,D96,Std Dev Headway (Minutes),1.9172900416000407,1.2530691595571959,Massachusetts Ave
D31,C87,Std Dev Headway (Minutes),0.0,1.599931757243425,Upper NW
D4,C71,Std Dev Headway (Minutes),1.079537656030567,1.303049126035262,18th St NE
D4,D36,Std Dev Headway (Minutes),1.079537656030567,0.017799706371463078,K St / Ivy City
D6,D24,Std Dev Headway (Minutes),2.7215378483917227,1.7523072984940684,H St / Benning Rd / D St
D6,D94,Std Dev Headway (Minutes),2.7215378483917227,1.589034533115867,MacArthur Blvd
D8,C71,Std Dev Headway (Minutes),0.044511695304683095,1.303049126035262,18th St NE
D8,D36,Std Dev Headway (Minutes),0.044511695304683095,0.017799706371463078,K St / Ivy City
E2,C71,Std Dev Headway (Minutes),4.9743936001589635,1.303049126035262,18th St NE
E4,C81,Std Dev Headway (Minutes),0.1385879947681061,0.5202332548168042,Upper NW
G2,C91,Std Dev Headway (Minutes),0.7012029145136717,0.7218188869369612,Georgetown / LeDroit Park
G8,D32,Std Dev Headway (Minutes),2.7849597851160555,0.7778943646241026,Rhode Island Ave / NE
G8,D34,Std Dev Headway (Minutes),2.7849597851160555,1.5574807811776694,Rhode Island Ave / NE
H2,C61,Std Dev Headway (Minutes),0.019768435229038858,0.191544900838414,Irving / Michigan
H4,C61,Std Dev Headway (Minutes),0.5625710382501201,0.191544900838414,Irving / Michigan
H4,D72,Std Dev Headway (Minutes),0.5625710382501201,1.1633463720528179,Foggy Bottom / Mt Pleasant / Brookland
H6,C63,Std Dev Headway (Minutes),2.5484324875342987,0.020158132043739167,Irving / Michigan
H8,D74,Std Dev Headway (Minutes),1.501857977791187,0.5902610328201227,Foggy Bottom / Mt Pleasant / Brookland
K2,C77,Std Dev Headway (Minutes),0.0,0.9375974065009911,Kansas / Eastern
L2,D70,Std Dev Headway (Minutes),1.7626632413454786,0.7671784763568649,Connecticut Ave
L2,D72,Std Dev Headway (Minutes),1.7626632413454786,1.1633463720528179,Foggy Bottom / Mt Pleasant / Brookland
M4,C81,Std Dev Headway (Minutes),0.2479950476063051,0.5202332548168042,Upper NW
M4,C83,Std Dev Headway (Minutes),0.2479950476063051,6.341692888115037,Upper NW
M6,C23,Std Dev Headway (Minutes),3.093357605439504,0.6224947903291363,Alabama Ave
M6,C37,Std Dev Headway (Minutes),3.093357605439504,0.6158523291708995,Minnesota Ave / Pennsylvania Ave
N2,D90,Std Dev Headway (Minutes),0.01852690410472218,2.088244599398818,Massachusetts Ave
N2,D96,Std Dev Headway (Minutes),0.01852690410472218,1.2530691595571959,Massachusetts Ave
N4,D90,Std Dev Headway (Minutes),0.10787209117133079,2.088244599398818,Massachusetts Ave
N4,D96,Std Dev Headway (Minutes),0.10787209117133079,1.2530691595571959,Massachusetts Ave
N6,D90,Std Dev Headway (Minutes),0.0,2.088244599398818,Massachusetts Ave
N6,D96,Std Dev Headway (Minutes),0.0,1.2530691595571959,Massachusetts Ave
P6,D30,Std Dev Headway (Minutes),3.4283333577250508,0.012856202862271262,N Capitol St
P6,D34,Std Dev Headway (Minutes),3.4283333577250508,1.5574807811776694,Rhode Island Ave / NE
S2,D60,Std Dev Headway (Minutes),1.1530214966721697,1.5208977749994086,16th St
S2,D6X,Std Dev Headway (Minutes),1.1530214966721697,0.38961950441637794,16th St
S9,D60,Std Dev Headway (Minutes),0.5746853449252736,1.5208977749994086,16th St
S9,D6X,Std Dev Headway (Minutes),0.5746853449252736,0.38961950441637794,16th St
U4,C33,Std Dev Headway (Minutes),1.7332716173805203,1.3501732321651638,Minnesota Ave / Eastern
U5,C37,Std Dev Headway (Minutes),1.237393173131917,0.6158523291708995,Minnesota Ave / Pennsylvania Ave
U6,C35,Std Dev Headway (Minutes),3.064599962880643,2.126776490221859,Minnesota Ave / Eastern
U7,C35,Std Dev Headway (Minutes),0.8429578378871511,2.126776490221859,Minnesota Ave / Eastern
V2,C31,Std Dev Headway (Minutes),0.8206226476285451,0.5009575018419165,Minnesota Ave / Eastern
V4,C31,Std Dev Headway (Minutes),0.6323623030652935,0.5009575018419165,Minnesota Ave / Eastern
